timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-09-2022,351,32,29,560000,3270,,0,0,,0,0,,20160.0,77.17,,0,0,,0,0,,0.0,0.0,,0,0,,0,0,,0,0,,367192.0,2997.61,,0,0,,0,0, Ibiza (Spagna)_nan_-87080.0_508.49@ M_nan_-1624.0_9.48@, Spagna_400000.0_102480.0_142.57@,Maiorca (Spagna)
19:10 20-09-2022,378,27,23,566000,3560,,0,0,,0,0,,19300.6,74.05,,0,0,,0,0,,0.0,0.0,,0,0,,0,0,,0,0,,395181.2,3224.29,,0,0,,0,0, Ibiza (Spagna)_nan_-88805.4_558.56@ M_nan_-2377.2_14.95@, Spagna_400000.0_102446.0_224.64@,Maiorca (Spagna)
19:20 20-09-2022,378,27,23,566000,3560,,0,0,,0,0,,19300.6,74.05,,0,0,,0,0,,0.0,0.0,,0,0,,0,0,,0,0,,395181.2,3224.29,,0,0,,0,0, Ibiza (Spagna)_nan_-88805.4_558.56@ M_nan_-2377.2_14.95@, Spagna_400000.0_102446.0_224.64@,Maiorca (Spagna)
19:30 20-09-2022,378,27,23,566000,3560,,0,0,,0,0,,19300.6,74.05,,0,0,,0,0,,0.0,0.0,,0,0,,0,0,,0,0,,395181.2,3224.29,,0,0,,0,0, Ibiza (Spagna)_nan_-88805.4_558.56@ M_nan_-2377.2_14.95@, Spagna_400000.0_102446.0_224.64@,Maiorca (Spagna)
19:40 20-09-2022,378,27,23,566000,3560,,0,0,,0,0,,19300.6,74.05,,0,0,,0,0,,0.0,0.0,,0,0,,0,0,,0,0,,395181.2,3224.29,,0,0,,0,0, Ibiza (Spagna)_nan_-88805.4_558.56@ M_nan_-2377.2_14.95@, Spagna_400000.0_102446.0_224.64@,Maiorca (Spagna)
19:50 20-09-2022,369,28,24,566000,3480,,0,0,,0,0,,19300.6,74.12,,0,0,,0,0,,0.0,0.0,,0,0,,0,0,,0,0,,395181.2,3224.57,,0,0,,0,0, Ibiza (Spagna)_nan_-88805.4_546.01@ M_nan_-2377.2_14.62@, Spagna_400000.0_102446.0_144.42@,Maiorca (Spagna)
20:00 20-09-2022,369,28,24,566000,3480,,0,0,,0,0,,19300.6,74.12,,0,0,,0,0,,0.0,0.0,,0,0,,0,0,,0,0,,395181.2,3224.57,,0,0,,0,0, Ibiza (Spagna)_nan_-88805.4_546.01@ M_nan_-2377.2_14.62@, Spagna_400000.0_102446.0_144.42@,Maiorca (Spagna)
20:10 20-09-2022,395,23,19,582000,3830,,0,0,,0,0,,20777.4,79.66,,0,0,,0,0,,0.0,0.0,,0,0,,0,0,,0,0,,427595.4,3491.05,,0,0,,0,0, Ibiza (Spagna)_nan_-90442.8_595.18@ M_nan_-3899.4_25.66@, Spagna_400000.0_102373.8_235.93@,Maiorca (Spagna)
20:20 20-09-2022,395,23,19,582000,3830,,0,0,,0,0,,20777.4,79.66,,0,0,,0,0,,0.0,0.0,,0,0,,0,0,,0,0,,427595.4,3491.05,,0,0,,0,0, Ibiza (Spagna)_nan_-90442.8_595.18@ M_nan_-3899.4_25.66@, Spagna_400000.0_102373.8_235.93@,Maiorca (Spagna)
20:30 20-09-2022,395,23,19,582000,3830,,0,0,,0,0,,20777.4,79.66,,0,0,,0,0,,0.0,0.0,,0,0,,0,0,,0,0,,427595.4,3491.05,,0,0,,0,0, Ibiza (Spagna)_nan_-90442.8_595.18@ M_nan_-3899.4_25.66@, Spagna_400000.0_102373.8_235.93@,Maiorca (Spagna)
20:40 20-09-2022,395,23,19,582000,3830,,0,0,,0,0,,20777.4,79.66,,0,0,,0,0,,0.0,0.0,,0,0,,0,0,,0,0,,427595.4,3491.05,,0,0,,0,0, Ibiza (Spagna)_nan_-90442.8_595.18@ M_nan_-3899.4_25.66@, Spagna_400000.0_102373.8_235.93@,Maiorca (Spagna)
