timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-04-2022,167,83,65,588000,1640,,,,,,,56500,52449.6,201.39,,,,139000,45981.6,8.36,268000,98196.0,73.8,23000,2998.8,1.15,,0,0,,0,0,11600,8467.2,69.54,,,,82400,,,, Belgio_nan_185161.2_365.39@ Germania_nan_194686.8_920.2@,Lussemburgo
19:10 20-04-2022,175,80,59,611000,1780,,,,,,,56500,49491.0,189.39,,,,139000,45702.8,8.37,268000,75947.3,56.96,23000,9226.1,3.74,,0,0,,0,0,11600,8981.7,73.34,,,,82400,,,, Belgio_nan_225642.3_472.06@ Germania_nan_195947.7_976.15@,Lussemburgo
19:20 20-04-2022,175,80,59,611000,1780,,,,,,,56500,49491.0,189.39,,,,139000,45702.8,8.37,268000,75947.3,56.96,23000,9226.1,3.74,,0,0,,0,0,11600,8981.7,73.34,,,,82400,,,, Belgio_nan_225642.3_472.06@ Germania_nan_195947.7_976.15@,Lussemburgo
19:30 20-04-2022,175,80,59,611000,1780,,,,,,,56500,49491.0,189.39,,,,139000,45702.8,8.37,268000,75947.3,56.96,23000,9226.1,3.74,,0,0,,0,0,11600,8981.7,73.34,,,,82400,,,, Belgio_nan_225642.3_472.06@ Germania_nan_195947.7_976.15@,Lussemburgo
19:40 20-04-2022,175,80,59,611000,1780,,,,,,,56500,49491.0,189.39,,,,139000,45702.8,8.37,268000,75947.3,56.96,23000,9226.1,3.74,,0,0,,0,0,11600,8981.7,73.34,,,,82400,,,, Belgio_nan_225642.3_472.06@ Germania_nan_195947.7_976.15@,Lussemburgo
19:50 20-04-2022,166,82,61,614000,1700,,,,,,,56500,49488.4,189.89,,,,139000,45743.0,8.33,268000,76013.2,57.12,23000,9271.4,3.74,,0,0,,0,0,11600,9025.8,73.61,,,,82400,,,, Belgio_nan_225767.8_327.76@ Germania_nan_198751.8_1039.55@,Lussemburgo
20:00 20-04-2022,166,82,61,614000,1700,,,,,,,56500,49488.4,189.89,,,,139000,45743.0,8.33,268000,76013.2,57.12,23000,9271.4,3.74,,0,0,,0,0,11600,9025.8,73.61,,,,82400,,,, Belgio_nan_225767.8_327.76@ Germania_nan_198751.8_1039.55@,Lussemburgo
20:10 20-04-2022,208,75,51,612000,2120,,,,,,,56500,45288.0,173.84,,,,139000,36536.4,6.78,268000,47001.6,35.4,23000,9241.2,3.6,,0,0,,0,0,11600,14014.8,114.48,,,,82400,,,, Belgio_nan_248349.6_566.89@ Germania_nan_211568.4_1219.21@,Lussemburgo
20:20 20-04-2022,208,75,51,612000,2120,,,,,,,56500,45288.0,173.84,,,,139000,36536.4,6.78,268000,47001.6,35.4,23000,9241.2,3.6,,0,0,,0,0,11600,14014.8,114.48,,,,82400,,,, Belgio_nan_248349.6_566.89@ Germania_nan_211568.4_1219.21@,Lussemburgo
20:30 20-04-2022,208,75,51,612000,2120,,,,,,,56500,45288.0,173.84,,,,139000,36536.4,6.78,268000,47001.6,35.4,23000,9241.2,3.6,,0,0,,0,0,11600,14014.8,114.48,,,,82400,,,, Belgio_nan_248349.6_566.89@ Germania_nan_211568.4_1219.21@,Lussemburgo
20:40 20-04-2022,208,75,51,612000,2120,,,,,,,56500,45288.0,173.84,,,,139000,36536.4,6.78,268000,47001.6,35.4,23000,9241.2,3.6,,0,0,,0,0,11600,14014.8,114.48,,,,82400,,,, Belgio_nan_248349.6_566.89@ Germania_nan_211568.4_1219.21@,Lussemburgo
20:50 20-04-2022,208,75,51,612000,2120,,,,,,,56500,45288.0,173.84,,,,139000,36536.4,6.78,268000,47001.6,35.4,23000,9241.2,3.6,,0,0,,0,0,11600,14014.8,114.48,,,,82400,,,, Belgio_nan_248349.6_566.89@ Germania_nan_211568.4_1219.21@,Lussemburgo
21:00 20-04-2022,208,75,51,612000,2120,,,,,,,56500,45288.0,173.84,,,,139000,36536.4,6.78,268000,47001.6,35.4,23000,9241.2,3.6,,0,0,,0,0,11600,14014.8,114.48,,,,82400,,,, Belgio_nan_248349.6_566.89@ Germania_nan_211568.4_1219.21@,Lussemburgo
21:10 20-04-2022,226,73,52,620000,2340,,,,,,,56500,44268.0,169.65,,,,139000,40982.0,7.49,268000,19530.0,14.74,23000,14012.0,5.62,,0,0,,0,0,11600,10726.0,87.75,,,,82400,,,, Belgio_nan_211730.0_516.91@ Germania_nan_278752.0_1537.85@,Lussemburgo
21:20 20-04-2022,226,73,52,620000,2340,,,,,,,56500,44268.0,169.65,,,,139000,40982.0,7.49,268000,19530.0,14.74,23000,14012.0,5.62,,0,0,,0,0,11600,10726.0,87.75,,,,82400,,,, Belgio_nan_211730.0_516.91@ Germania_nan_278752.0_1537.85@,Lussemburgo
21:30 20-04-2022,226,73,52,620000,2340,,,,,,,56500,44268.0,169.65,,,,139000,40982.0,7.49,268000,19530.0,14.74,23000,14012.0,5.62,,0,0,,0,0,11600,10726.0,87.75,,,,82400,,,, Belgio_nan_211730.0_516.91@ Germania_nan_278752.0_1537.85@,Lussemburgo
21:40 20-04-2022,226,73,52,620000,2340,,,,,,,56500,44268.0,169.65,,,,139000,40982.0,7.49,268000,19530.0,14.74,23000,14012.0,5.62,,0,0,,0,0,11600,10726.0,87.75,,,,82400,,,, Belgio_nan_211730.0_516.91@ Germania_nan_278752.0_1537.85@,Lussemburgo
21:50 20-04-2022,244,69,47,628000,2550,,,,,,,56500,44274.0,169.83,,,,139000,41008.4,7.65,268000,19530.8,14.53,23000,14004.4,5.61,,0,0,,0,0,11600,10738.8,87.98,,,,82400,,,, Belgio_nan_211950.0_463.85@ Germania_nan_286493.6_1800.55@,Lussemburgo
22:00 20-04-2022,244,69,47,628000,2550,,,,,,,56500,44274.0,169.83,,,,139000,41008.4,7.65,268000,19530.8,14.53,23000,14004.4,5.61,,0,0,,0,0,11600,10738.8,87.98,,,,82400,,,, Belgio_nan_211950.0_463.85@ Germania_nan_286493.6_1800.55@,Lussemburgo
22:10 20-04-2022,240,71,51,619000,2470,,,,,,,56500,41039.7,156.84,,,,139000,40544.5,7.41,268000,3033.1,2.22,23000,9285.0,3.71,,0,0,,0,0,11600,5013.9,40.76,,,,82400,,,, Belgio_nan_191147.2_450.53@ Germania_nan_328998.5_1808.53@,Lussemburgo
22:20 20-04-2022,240,71,51,619000,2470,,,,,,,56500,41039.7,156.84,,,,139000,40544.5,7.41,268000,3033.1,2.22,23000,9285.0,3.71,,0,0,,0,0,11600,5013.9,40.76,,,,82400,,,, Belgio_nan_191147.2_450.53@ Germania_nan_328998.5_1808.53@,Lussemburgo
22:30 20-04-2022,240,71,51,619000,2470,,,,,,,56500,41039.7,156.84,,,,139000,40544.5,7.41,268000,3033.1,2.22,23000,9285.0,3.71,,0,0,,0,0,11600,5013.9,40.76,,,,82400,,,, Belgio_nan_191147.2_450.53@ Germania_nan_328998.5_1808.53@,Lussemburgo
22:40 20-04-2022,240,71,51,619000,2470,,,,,,,56500,41039.7,156.84,,,,139000,40544.5,7.41,268000,3033.1,2.22,23000,9285.0,3.71,,0,0,,0,0,11600,5013.9,40.76,,,,82400,,,, Belgio_nan_191147.2_450.53@ Germania_nan_328998.5_1808.53@,Lussemburgo
22:50 20-04-2022,240,71,51,619000,2470,,,,,,,56500,41039.7,156.84,,,,139000,40544.5,7.41,268000,3033.1,2.22,23000,9285.0,3.71,,0,0,,0,0,11600,5013.9,40.76,,,,82400,,,, Belgio_nan_191147.2_450.53@ Germania_nan_328998.5_1808.53@,Lussemburgo
23:00 20-04-2022,252,68,45,605000,2540,,,,,,,56500,41019.0,157.23,,,,139000,40535.0,7.37,268000,3025.0,2.29,23000,9256.5,3.81,,0,0,,0,0,11600,5021.5,40.89,,,,82400,,,, Belgio_nan_191180.0_400.81@ Germania_nan_315023.5_1927.86@,Lussemburgo
23:10 20-04-2022,229,71,52,592000,2260,,,,,,,56500,33033.6,126.79,,,,139000,68316.8,12.43,268000,0.0,0.0,23000,9235.2,3.62,,0,0,,0,0,11600,12787.2,104.41,,,,82400,,,, Belgio_nan_178665.6_421.49@ Germania_nan_290020.8_1591.27@,Lussemburgo
23:20 20-04-2022,229,71,52,592000,2260,,,,,,,56500,33033.6,126.79,,,,139000,68316.8,12.43,268000,0.0,0.0,23000,9235.2,3.62,,0,0,,0,0,11600,12787.2,104.41,,,,82400,,,, Belgio_nan_178665.6_421.49@ Germania_nan_290020.8_1591.27@,Lussemburgo
23:30 20-04-2022,229,71,52,592000,2260,,,,,,,56500,33033.6,126.79,,,,139000,68316.8,12.43,268000,0.0,0.0,23000,9235.2,3.62,,0,0,,0,0,11600,12787.2,104.41,,,,82400,,,, Belgio_nan_178665.6_421.49@ Germania_nan_290020.8_1591.27@,Lussemburgo
23:40 20-04-2022,229,71,52,592000,2260,,,,,,,56500,33033.6,126.79,,,,139000,68316.8,12.43,268000,0.0,0.0,23000,9235.2,3.62,,0,0,,0,0,11600,12787.2,104.41,,,,82400,,,, Belgio_nan_178665.6_421.49@ Germania_nan_290020.8_1591.27@,Lussemburgo
23:50 20-04-2022,226,70,48,592000,2230,,,,,,,56500,33033.6,126.44,,,,139000,68316.8,12.49,268000,0.0,0.0,23000,9235.2,3.79,,0,0,,0,0,11600,12787.2,104.14,,,,82400,,,, Belgio_nan_178665.6_373.08@ Germania_nan_290020.8_1610.06@,Lussemburgo
00:10 21-04-2022,257,69,54,586000,2510,,,,,,,56500,35511.6,136.04,,,,139000,97276.0,17.82,268000,0.0,0.0,23000,12013.0,4.77,,0,0,,0,0,11600,1992.4,16.32,,,,82400,,,, Belgio_nan_100030.2_238.7@ Germania_nan_339118.2_2096.35@,Lussemburgo
00:20 21-04-2022,257,69,54,586000,2510,,,,,,,56500,35511.6,136.04,,,,139000,97276.0,17.82,268000,0.0,0.0,23000,12013.0,4.77,,0,0,,0,0,11600,1992.4,16.32,,,,82400,,,, Belgio_nan_100030.2_238.7@ Germania_nan_339118.2_2096.35@,Lussemburgo
00:30 21-04-2022,257,69,54,586000,2510,,,,,,,56500,35511.6,136.04,,,,139000,97276.0,17.82,268000,0.0,0.0,23000,12013.0,4.77,,0,0,,0,0,11600,1992.4,16.32,,,,82400,,,, Belgio_nan_100030.2_238.7@ Germania_nan_339118.2_2096.35@,Lussemburgo
00:40 21-04-2022,257,69,54,586000,2510,,,,,,,56500,35511.6,136.04,,,,139000,97276.0,17.82,268000,0.0,0.0,23000,12013.0,4.77,,0,0,,0,0,11600,1992.4,16.32,,,,82400,,,, Belgio_nan_100030.2_238.7@ Germania_nan_339118.2_2096.35@,Lussemburgo
00:50 21-04-2022,266,67,52,589000,2610,,,,,,,56500,35457.8,135.98,,,,139000,97185.0,17.75,268000,0.0,0.0,23000,12015.6,4.7,,0,0,,0,0,11600,2002.6,16.44,,,,82400,,,, Belgio_nan_99953.3_227.85@ Germania_nan_342326.8_2207.28@,Lussemburgo
