timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-09-2022,256,65,42,7370000.0,31400,1400000,1396615,279.46,0,0,0,116000,78122,301.44,2640000,1383349,18902.8,2960000,660352,122.46,1160000,0.0,0.0,6140000,2055493,822.68,0,0,0,,0,0,2220000,860079,7021.04,,,,,,, Moldavia_nan_-112761.0_480.42@ Serbia_1130000.0_-262372.0_1117.84@, Bulgaria_nan_234366.0_1548.02@ Ungheria_nan_283745.0_1083.3@ Ucraina_650000.0_315436.0_1249.72@,Romania
19:10 20-09-2022,256,65,42,7370000.0,31400,1400000,1396615,279.46,0,0,0,116000,78122,301.44,2640000,1383349,18902.8,2960000,660352,122.46,1160000,0.0,0.0,6140000,2055493,822.68,0,0,0,,0,0,2220000,860079,7021.04,,,,,,, Moldavia_nan_-112761.0_480.42@ Serbia_1130000.0_-262372.0_1117.84@, Bulgaria_nan_234366.0_1548.02@ Ungheria_nan_283745.0_1083.3@ Ucraina_650000.0_315436.0_1249.72@,Romania
19:20 20-09-2022,256,65,42,7370000.0,31400,1400000,1396615,279.46,0,0,0,116000,78122,301.44,2640000,1383349,18902.8,2960000,660352,122.46,1160000,0.0,0.0,6140000,2055493,822.68,0,0,0,,0,0,2220000,860079,7021.04,,,,,,, Moldavia_nan_-112761.0_480.42@ Serbia_1130000.0_-262372.0_1117.84@, Bulgaria_nan_234366.0_1548.02@ Ungheria_nan_283745.0_1083.3@ Ucraina_650000.0_315436.0_1249.72@,Romania
19:30 20-09-2022,256,65,42,7370000.0,31400,1400000,1396615,279.46,0,0,0,116000,78122,301.44,2640000,1383349,18902.8,2960000,660352,122.46,1160000,0.0,0.0,6140000,2055493,822.68,0,0,0,,0,0,2220000,860079,7021.04,,,,,,, Moldavia_nan_-112761.0_480.42@ Serbia_1130000.0_-262372.0_1117.84@, Bulgaria_nan_234366.0_1548.02@ Ungheria_nan_283745.0_1083.3@ Ucraina_650000.0_315436.0_1249.72@,Romania
19:40 20-09-2022,256,65,42,7370000.0,31400,1400000,1396615,279.46,0,0,0,116000,78122,301.44,2640000,1383349,18902.8,2960000,660352,122.46,1160000,0.0,0.0,6140000,2055493,822.68,0,0,0,,0,0,2220000,860079,7021.04,,,,,,, Moldavia_nan_-112761.0_480.42@ Serbia_1130000.0_-262372.0_1117.84@, Bulgaria_nan_234366.0_1548.02@ Ungheria_nan_283745.0_1083.3@ Ucraina_650000.0_315436.0_1249.72@,Romania
19:50 20-09-2022,255,65,42,7320000.0,31100,1400000,1395924,279.9,0,0,0,116000,77592,298.56,2640000,1384212,18890.14,2960000,663924,121.29,1160000,0.0,0.0,6140000,2059848,821.04,0,0,0,,0,0,2220000,859368,7009.94,,,,,,, Moldavia_nan_-112728.0_478.94@ Serbia_1130000.0_-21228.0_90.19@, Bulgaria_nan_188124.0_1240.89@ Ungheria_nan_281820.0_1135.15@ Ucraina_650000.0_311100.0_1231.56@,Romania
20:00 20-09-2022,255,65,42,7320000.0,31100,1400000,1395924,279.9,0,0,0,116000,77592,298.56,2640000,1384212,18890.14,2960000,663924,121.29,1160000,0.0,0.0,6140000,2059848,821.04,0,0,0,,0,0,2220000,859368,7009.94,,,,,,, Moldavia_nan_-112728.0_478.94@ Serbia_1130000.0_-21228.0_90.19@, Bulgaria_nan_188124.0_1240.89@ Ungheria_nan_281820.0_1135.15@ Ucraina_650000.0_311100.0_1231.56@,Romania
20:10 20-09-2022,253,66,42,7420000.0,31300,1400000,1395702,278.57,0,0,0,116000,77168,294.22,2640000,1386798,18980.32,2960000,663348,122.07,1160000,0.0,0.0,6140000,2219322,888.92,0,0,0,,0,0,2220000,862946,7055.02,,,,,,, Moldavia_nan_-68264.0_287.96@ Serbia_1130000.0_-20776.0_87.64@, Bulgaria_nan_187726.0_1211.31@ Ungheria_nan_295316.0_1217.57@ Ucraina_650000.0_310898.0_1236.35@,Romania
20:20 20-09-2022,253,66,42,7420000.0,31300,1400000,1395702,278.57,0,0,0,116000,77168,294.22,2640000,1386798,18980.32,2960000,663348,122.07,1160000,0.0,0.0,6140000,2219322,888.92,0,0,0,,0,0,2220000,862946,7055.02,,,,,,, Moldavia_nan_-68264.0_287.96@ Serbia_1130000.0_-20776.0_87.64@, Bulgaria_nan_187726.0_1211.31@ Ungheria_nan_295316.0_1217.57@ Ucraina_650000.0_310898.0_1236.35@,Romania
20:30 20-09-2022,253,66,42,7420000.0,31300,1400000,1395702,278.57,0,0,0,116000,77168,294.22,2640000,1386798,18980.32,2960000,663348,122.07,1160000,0.0,0.0,6140000,2219322,888.92,0,0,0,,0,0,2220000,862946,7055.02,,,,,,, Moldavia_nan_-68264.0_287.96@ Serbia_1130000.0_-20776.0_87.64@, Bulgaria_nan_187726.0_1211.31@ Ungheria_nan_295316.0_1217.57@ Ucraina_650000.0_310898.0_1236.35@,Romania
20:40 20-09-2022,254,66,42,7460000.0,31500,1400000,1396512,280.35,0,0,0,116000,76838,296.1,2640000,1387560,18950.4,2960000,663194,122.85,1160000,0.0,0.0,6140000,2220842,888.3,0,0,0,,0,0,2220000,863122,7043.4,,,,,,, Moldavia_nan_-68632.0_289.8@, Bulgaria_nan_185008.0_1190.7@ Ungheria_nan_293178.0_1228.5@ Serbia_1130000.0_20142.0_166.95@ Ucraina_650000.0_332716.0_1319.85@,Romania
20:50 20-09-2022,254,66,42,7460000.0,31500,1400000,1396512,280.35,0,0,0,116000,76838,296.1,2640000,1387560,18950.4,2960000,663194,122.85,1160000,0.0,0.0,6140000,2220842,888.3,0,0,0,,0,0,2220000,863122,7043.4,,,,,,, Moldavia_nan_-68632.0_289.8@, Bulgaria_nan_185008.0_1190.7@ Ungheria_nan_293178.0_1228.5@ Serbia_1130000.0_20142.0_166.95@ Ucraina_650000.0_332716.0_1319.85@,Romania
21:00 20-09-2022,254,66,42,7460000.0,31500,1400000,1396512,280.35,0,0,0,116000,76838,296.1,2640000,1387560,18950.4,2960000,663194,122.85,1160000,0.0,0.0,6140000,2220842,888.3,0,0,0,,0,0,2220000,863122,7043.4,,,,,,, Moldavia_nan_-68632.0_289.8@, Bulgaria_nan_185008.0_1190.7@ Ungheria_nan_293178.0_1228.5@ Serbia_1130000.0_20142.0_166.95@ Ucraina_650000.0_332716.0_1319.85@,Romania
21:10 20-09-2022,248,66,43,7610000.0,31500,1400000,1397957,280.35,0,0,0,116000,80666,308.7,2640000,1378171,18824.4,2960000,702403,129.15,1160000,0.0,0.0,6140000,2342358,935.55,0,0,0,,0,0,2220000,866018,7068.6,,,,,,, Moldavia_nan_-51748.0_214.2@, Bulgaria_nan_184923.0_1187.55@ Ungheria_nan_305161.0_1275.75@ Serbia_1130000.0_19786.0_166.95@ Ucraina_650000.0_333318.0_1323.0@,Romania
21:20 20-09-2022,248,66,43,7610000.0,31500,1400000,1397957,280.35,0,0,0,116000,80666,308.7,2640000,1378171,18824.4,2960000,702403,129.15,1160000,0.0,0.0,6140000,2342358,935.55,0,0,0,,0,0,2220000,866018,7068.6,,,,,,, Moldavia_nan_-51748.0_214.2@, Bulgaria_nan_184923.0_1187.55@ Ungheria_nan_305161.0_1275.75@ Serbia_1130000.0_19786.0_166.95@ Ucraina_650000.0_333318.0_1323.0@,Romania
21:30 20-09-2022,248,66,43,7610000.0,31500,1400000,1397957,280.35,0,0,0,116000,80666,308.7,2640000,1378171,18824.4,2960000,702403,129.15,1160000,0.0,0.0,6140000,2342358,935.55,0,0,0,,0,0,2220000,866018,7068.6,,,,,,, Moldavia_nan_-51748.0_214.2@, Bulgaria_nan_184923.0_1187.55@ Ungheria_nan_305161.0_1275.75@ Serbia_1130000.0_19786.0_166.95@ Ucraina_650000.0_333318.0_1323.0@,Romania
21:40 20-09-2022,252,66,43,7880000.0,33100,1400000,1397124,278.04,0,0,0,116000,80376,307.83,2640000,1377424,18810.73,2960000,701320,129.09,1160000,0.0,0.0,6140000,2341148,936.73,0,0,0,,0,0,2220000,865224,7063.54,,,,,,, Moldavia_nan_-51220.0_215.15@, Bulgaria_nan_294712.0_1890.01@ Ungheria_nan_301804.0_1280.97@ Serbia_1130000.0_167844.0_999.62@ Ucraina_650000.0_353024.0_1400.13@,Romania
21:50 20-09-2022,252,66,43,7880000.0,33100,1400000,1397124,278.04,0,0,0,116000,80376,307.83,2640000,1377424,18810.73,2960000,701320,129.09,1160000,0.0,0.0,6140000,2341148,936.73,0,0,0,,0,0,2220000,865224,7063.54,,,,,,, Moldavia_nan_-51220.0_215.15@, Bulgaria_nan_294712.0_1890.01@ Ungheria_nan_301804.0_1280.97@ Serbia_1130000.0_167844.0_999.62@ Ucraina_650000.0_353024.0_1400.13@,Romania
22:00 20-09-2022,252,66,43,7880000.0,33100,1400000,1397124,278.04,0,0,0,116000,80376,307.83,2640000,1377424,18810.73,2960000,701320,129.09,1160000,0.0,0.0,6140000,2341148,936.73,0,0,0,,0,0,2220000,865224,7063.54,,,,,,, Moldavia_nan_-51220.0_215.15@, Bulgaria_nan_294712.0_1890.01@ Ungheria_nan_301804.0_1280.97@ Serbia_1130000.0_167844.0_999.62@ Ucraina_650000.0_353024.0_1400.13@,Romania
22:10 20-09-2022,254,66,43,7760000.0,32800,1400000,1397576,278.8,0,0,0,116000,80704,308.32,2640000,1381280,18863.28,2960000,640976,118.08,1160000,0.0,0.0,6140000,2361368,944.64,0,0,0,,0,0,2220000,871448,7111.04,,,,,,, Moldavia_nan_-103208.0_436.24@, Bulgaria_nan_294880.0_1889.28@ Ungheria_nan_211072.0_888.88@ Serbia_1130000.0_167616.0_1000.4@ Ucraina_650000.0_353080.0_1400.56@,Romania
22:20 20-09-2022,254,66,43,7760000.0,32800,1400000,1397576,278.8,0,0,0,116000,80704,308.32,2640000,1381280,18863.28,2960000,640976,118.08,1160000,0.0,0.0,6140000,2361368,944.64,0,0,0,,0,0,2220000,871448,7111.04,,,,,,, Moldavia_nan_-103208.0_436.24@, Bulgaria_nan_294880.0_1889.28@ Ungheria_nan_211072.0_888.88@ Serbia_1130000.0_167616.0_1000.4@ Ucraina_650000.0_353080.0_1400.56@,Romania
22:30 20-09-2022,254,66,43,7760000.0,32800,1400000,1397576,278.8,0,0,0,116000,80704,308.32,2640000,1381280,18863.28,2960000,640976,118.08,1160000,0.0,0.0,6140000,2361368,944.64,0,0,0,,0,0,2220000,871448,7111.04,,,,,,, Moldavia_nan_-103208.0_436.24@, Bulgaria_nan_294880.0_1889.28@ Ungheria_nan_211072.0_888.88@ Serbia_1130000.0_167616.0_1000.4@ Ucraina_650000.0_353080.0_1400.56@,Romania
22:40 20-09-2022,254,66,43,7760000.0,32800,1400000,1397576,278.8,0,0,0,116000,80704,308.32,2640000,1381280,18863.28,2960000,640976,118.08,1160000,0.0,0.0,6140000,2361368,944.64,0,0,0,,0,0,2220000,871448,7111.04,,,,,,, Moldavia_nan_-103208.0_436.24@, Bulgaria_nan_294880.0_1889.28@ Ungheria_nan_211072.0_888.88@ Serbia_1130000.0_167616.0_1000.4@ Ucraina_650000.0_353080.0_1400.56@,Romania
22:50 20-09-2022,256,66,43,7830000.0,33400,1400000,1398438,280.56,0,0,0,116000,80649,307.28,2640000,1381212,18894.38,2960000,641277,116.9,1160000,0.0,0.0,6140000,2361528,945.22,0,0,0,,0,0,2220000,871479,7124.22,,,,,,, Moldavia_nan_-103356.0_440.88@, Bulgaria_nan_379755.0_2438.2@ Ungheria_nan_212193.0_905.14@ Serbia_1130000.0_197316.0_1169.0@ Ucraina_650000.0_306153.0_1215.76@,Romania
23:00 20-09-2022,256,66,43,7830000.0,33400,1400000,1398438,280.56,0,0,0,116000,80649,307.28,2640000,1381212,18894.38,2960000,641277,116.9,1160000,0.0,0.0,6140000,2361528,945.22,0,0,0,,0,0,2220000,871479,7124.22,,,,,,, Moldavia_nan_-103356.0_440.88@, Bulgaria_nan_379755.0_2438.2@ Ungheria_nan_212193.0_905.14@ Serbia_1130000.0_197316.0_1169.0@ Ucraina_650000.0_306153.0_1215.76@,Romania
23:10 20-09-2022,272,64,39,7380000.0,33400,1400000,1406628,280.56,0,0,0,116000,78228,300.6,2640000,1383750,18901.06,2960000,409590,73.48,1160000,0.0,0.0,6140000,2110680,845.02,0,0,0,,0,0,2220000,853128,6963.9,,,,,,, Moldavia_nan_-56826.0_257.18@, Bulgaria_nan_380070.0_2555.1@ Ungheria_nan_255348.0_1085.5@ Serbia_1130000.0_197046.0_1175.68@ Ucraina_650000.0_306270.0_1215.76@,Romania
23:20 20-09-2022,272,64,39,7380000.0,33400,1400000,1406628,280.56,0,0,0,116000,78228,300.6,2640000,1383750,18901.06,2960000,409590,73.48,1160000,0.0,0.0,6140000,2110680,845.02,0,0,0,,0,0,2220000,853128,6963.9,,,,,,, Moldavia_nan_-56826.0_257.18@, Bulgaria_nan_380070.0_2555.1@ Ungheria_nan_255348.0_1085.5@ Serbia_1130000.0_197046.0_1175.68@ Ucraina_650000.0_306270.0_1215.76@,Romania
23:30 20-09-2022,272,64,39,7380000.0,33400,1400000,1406628,280.56,0,0,0,116000,78228,300.6,2640000,1383750,18901.06,2960000,409590,73.48,1160000,0.0,0.0,6140000,2110680,845.02,0,0,0,,0,0,2220000,853128,6963.9,,,,,,, Moldavia_nan_-56826.0_257.18@, Bulgaria_nan_380070.0_2555.1@ Ungheria_nan_255348.0_1085.5@ Serbia_1130000.0_197046.0_1175.68@ Ucraina_650000.0_306270.0_1215.76@,Romania
23:40 20-09-2022,272,64,39,7380000.0,33400,1400000,1406628,280.56,0,0,0,116000,78228,300.6,2640000,1383750,18901.06,2960000,409590,73.48,1160000,0.0,0.0,6140000,2110680,845.02,0,0,0,,0,0,2220000,853128,6963.9,,,,,,, Moldavia_nan_-56826.0_257.18@, Bulgaria_nan_380070.0_2555.1@ Ungheria_nan_255348.0_1085.5@ Serbia_1130000.0_197046.0_1175.68@ Ucraina_650000.0_306270.0_1215.76@,Romania
