timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import
19:00 20-04-2022,343,38,36,5190.0,29.7,,0,0,,0,0,,0,0,,0,0,,0,0,,1019.83,0.77,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_4170.16_28.93;
19:10 20-04-2022,343,38,36,5190.0,29.7,,0,0,,0,0,,0,0,,0,0,,0,0,,1019.83,0.77,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_4170.16_28.93;
19:20 20-04-2022,343,38,36,5190.0,29.7,,0,0,,0,0,,0,0,,0,0,,0,0,,1019.83,0.77,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_4170.16_28.93;
19:30 20-04-2022,343,38,36,5190.0,29.7,,0,0,,0,0,,0,0,,0,0,,0,0,,1019.83,0.77,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_4170.16_28.93;
19:40 20-04-2022,343,38,36,5190.0,29.7,,0,0,,0,0,,0,0,,0,0,,0,0,,1019.83,0.77,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_4170.16_28.93;
19:50 20-04-2022,343,38,36,5190.0,29.7,,0,0,,0,0,,0,0,,0,0,,0,0,,1019.83,0.77,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_4170.16_28.93;
20:00 20-04-2022,343,38,36,5190.0,29.7,,0,0,,0,0,,0,0,,0,0,,0,0,,1019.83,0.77,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_4170.16_28.93;
20:10 20-04-2022,393,28,25,5500.0,36.0,,0,0,,0,0,,0,0,,0,0,,0,0,,580.25,0.44,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_4919.75_35.56;
20:20 20-04-2022,393,28,25,5500.0,36.0,,0,0,,0,0,,0,0,,0,0,,0,0,,580.25,0.44,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_4919.75_35.56;
20:30 20-04-2022,393,28,25,5500.0,36.0,,0,0,,0,0,,0,0,,0,0,,0,0,,580.25,0.44,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_4919.75_35.56;
20:40 20-04-2022,393,28,25,5500.0,36.0,,0,0,,0,0,,0,0,,0,0,,0,0,,580.25,0.44,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_4919.75_35.56;
20:50 20-04-2022,393,28,25,5500.0,36.0,,0,0,,0,0,,0,0,,0,0,,0,0,,580.25,0.44,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_4919.75_35.56;
21:00 20-04-2022,393,28,25,5500.0,36.0,,0,0,,0,0,,0,0,,0,0,,0,0,,580.25,0.44,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_4919.75_35.56;
21:10 20-04-2022,513,8,7,6010.0,51.4,,0,0,,0,0,,0,0,,0,0,,0,0,,79.93,0.06,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_5930.07_51.34;
21:20 20-04-2022,513,8,7,6010.0,51.4,,0,0,,0,0,,0,0,,0,0,,0,0,,79.93,0.06,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_5930.07_51.34;
21:30 20-04-2022,513,8,7,6010.0,51.4,,0,0,,0,0,,0,0,,0,0,,0,0,,79.93,0.06,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_5930.07_51.34;
21:40 20-04-2022,510,9,8,6010.0,51.1,,0,0,,0,0,,0,0,,0,0,,0,0,,79.93,0.06,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_5930.07_51.04;
21:50 20-04-2022,510,9,8,6010.0,51.1,,0,0,,0,0,,0,0,,0,0,,0,0,,79.93,0.06,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_5930.07_51.04;
22:00 20-04-2022,510,9,8,6010.0,51.1,,0,0,,0,0,,0,0,,0,0,,0,0,,79.93,0.06,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,, Ibiza (Spagna)_nan_5930.07_51.04;
