timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-04-2022,162,75,67,2010000,5450.0,0,0,0,0,0,0,165000,101706.0,391.31,0,0,0,671000,410040.0,75.21,259000,7035.0,5.45,128000,24924.0,9.81,900000,0,0.0,,0,0,1530000,0.0,0.0,0,0,0,37000,3015.0,34.88, Polonia_500000.0_-483204.0_1310.18@, Bielorussia_4550000.0_214266.0_1746.18@ Lettonia_nan_645411.0_1295.46@ Kaliningrad (Russia)_2490000.0_199794.0_1605.02@ Svezia_700000.0_403608.0_286.67@,Lituania
19:10 20-04-2022,162,75,67,2010000,5450.0,0,0,0,0,0,0,165000,101706.0,391.31,0,0,0,671000,410040.0,75.21,259000,7035.0,5.45,128000,24924.0,9.81,900000,0,0.0,,0,0,1530000,0.0,0.0,0,0,0,37000,3015.0,34.88, Polonia_500000.0_-483204.0_1310.18@, Bielorussia_4550000.0_214266.0_1746.18@ Lettonia_nan_645411.0_1295.46@ Kaliningrad (Russia)_2490000.0_199794.0_1605.02@ Svezia_700000.0_403608.0_286.67@,Lituania
19:20 20-04-2022,162,75,67,2010000,5450.0,0,0,0,0,0,0,165000,101706.0,391.31,0,0,0,671000,410040.0,75.21,259000,7035.0,5.45,128000,24924.0,9.81,900000,0,0.0,,0,0,1530000,0.0,0.0,0,0,0,37000,3015.0,34.88, Polonia_500000.0_-483204.0_1310.18@, Bielorussia_4550000.0_214266.0_1746.18@ Lettonia_nan_645411.0_1295.46@ Kaliningrad (Russia)_2490000.0_199794.0_1605.02@ Svezia_700000.0_403608.0_286.67@,Lituania
19:30 20-04-2022,162,75,67,2010000,5450.0,0,0,0,0,0,0,165000,101706.0,391.31,0,0,0,671000,410040.0,75.21,259000,7035.0,5.45,128000,24924.0,9.81,900000,0,0.0,,0,0,1530000,0.0,0.0,0,0,0,37000,3015.0,34.88, Polonia_500000.0_-483204.0_1310.18@, Bielorussia_4550000.0_214266.0_1746.18@ Lettonia_nan_645411.0_1295.46@ Kaliningrad (Russia)_2490000.0_199794.0_1605.02@ Svezia_700000.0_403608.0_286.67@,Lituania
19:40 20-04-2022,162,75,67,2010000,5450.0,0,0,0,0,0,0,165000,101706.0,391.31,0,0,0,671000,410040.0,75.21,259000,7035.0,5.45,128000,24924.0,9.81,900000,0,0.0,,0,0,1530000,0.0,0.0,0,0,0,37000,3015.0,34.88, Polonia_500000.0_-483204.0_1310.18@, Bielorussia_4550000.0_214266.0_1746.18@ Lettonia_nan_645411.0_1295.46@ Kaliningrad (Russia)_2490000.0_199794.0_1605.02@ Svezia_700000.0_403608.0_286.67@,Lituania
19:50 20-04-2022,166,74,66,1980000,5470.0,0,0,0,0,0,0,165000,102960.0,394.93,0,0,0,671000,373824.0,68.38,259000,2970.0,2.19,128000,31086.0,12.58,900000,0,0.0,,0,0,1530000,0.0,0.0,0,0,0,37000,2970.0,35.01, Polonia_500000.0_-484110.0_1337.41@, Bielorussia_4550000.0_214830.0_1746.02@ Lettonia_nan_646668.0_1318.27@ Kaliningrad (Russia)_2490000.0_200376.0_1605.45@ Svezia_700000.0_404514.0_286.63@,Lituania
20:00 20-04-2022,166,74,66,1980000,5470.0,0,0,0,0,0,0,165000,102960.0,394.93,0,0,0,671000,373824.0,68.38,259000,2970.0,2.19,128000,31086.0,12.58,900000,0,0.0,,0,0,1530000,0.0,0.0,0,0,0,37000,2970.0,35.01, Polonia_500000.0_-484110.0_1337.41@, Bielorussia_4550000.0_214830.0_1746.02@ Lettonia_nan_646668.0_1318.27@ Kaliningrad (Russia)_2490000.0_200376.0_1605.45@ Svezia_700000.0_404514.0_286.63@,Lituania
20:10 20-04-2022,179,73,64,2020000,6040.0,0,0,0,0,0,0,165000,103828.0,398.64,0,0,0,671000,268862.0,49.53,259000,0.0,0.0,128000,52924.0,21.14,900000,50904,260.93,,0,0,1530000,0.0,0.0,0,0,0,37000,3030.0,35.03, Polonia_500000.0_-483992.0_1447.18@, Bielorussia_4550000.0_241592.0_1963.6@ Lettonia_nan_686800.0_1421.82@ Kaliningrad (Russia)_2490000.0_199980.0_1601.81@ Svezia_700000.0_411878.0_288.11@,Lituania
20:20 20-04-2022,179,73,64,2020000,6040.0,0,0,0,0,0,0,165000,103828.0,398.64,0,0,0,671000,268862.0,49.53,259000,0.0,0.0,128000,52924.0,21.14,900000,50904,260.93,,0,0,1530000,0.0,0.0,0,0,0,37000,3030.0,35.03, Polonia_500000.0_-483992.0_1447.18@, Bielorussia_4550000.0_241592.0_1963.6@ Lettonia_nan_686800.0_1421.82@ Kaliningrad (Russia)_2490000.0_199980.0_1601.81@ Svezia_700000.0_411878.0_288.11@,Lituania
20:30 20-04-2022,179,73,64,2020000,6040.0,0,0,0,0,0,0,165000,103828.0,398.64,0,0,0,671000,268862.0,49.53,259000,0.0,0.0,128000,52924.0,21.14,900000,50904,260.93,,0,0,1530000,0.0,0.0,0,0,0,37000,3030.0,35.03, Polonia_500000.0_-483992.0_1447.18@, Bielorussia_4550000.0_241592.0_1963.6@ Lettonia_nan_686800.0_1421.82@ Kaliningrad (Russia)_2490000.0_199980.0_1601.81@ Svezia_700000.0_411878.0_288.11@,Lituania
