timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-04-2022,470,29,29,517000,4050,0,0,0,0,0,0,12400,5997.2,23.08,0,0,0,158000,63280.8,11.74,263000,82771.7,61.97,0,0,0,0,0,0,,0,0,0,0,0,1480000,364950.3,3953.2,,,,,,Cipro
19:10 20-04-2022,522,21,21,523000,4550,0,0,0,0,0,0,12400,6014.5,23.21,0,0,0,158000,67780.8,12.29,263000,35041.0,26.39,0,0,0,0,0,0,,0,0,0,0,0,1480000,414216.0,4488.12,,,,,,Cipro
19:20 20-04-2022,522,21,21,523000,4550,0,0,0,0,0,0,12400,6014.5,23.21,0,0,0,158000,67780.8,12.29,263000,35041.0,26.39,0,0,0,0,0,0,,0,0,0,0,0,1480000,414216.0,4488.12,,,,,,Cipro
19:30 20-04-2022,522,21,21,523000,4550,0,0,0,0,0,0,12400,6014.5,23.21,0,0,0,158000,67780.8,12.29,263000,35041.0,26.39,0,0,0,0,0,0,,0,0,0,0,0,1480000,414216.0,4488.12,,,,,,Cipro
19:40 20-04-2022,522,21,21,523000,4550,0,0,0,0,0,0,12400,6014.5,23.21,0,0,0,158000,67780.8,12.29,263000,35041.0,26.39,0,0,0,0,0,0,,0,0,0,0,0,1480000,414216.0,4488.12,,,,,,Cipro
19:50 20-04-2022,522,21,21,523000,4550,0,0,0,0,0,0,12400,6014.5,23.21,0,0,0,158000,67780.8,12.29,263000,35041.0,26.39,0,0,0,0,0,0,,0,0,0,0,0,1480000,414216.0,4488.12,,,,,,Cipro
20:00 20-04-2022,522,21,21,523000,4550,0,0,0,0,0,0,12400,6014.5,23.21,0,0,0,158000,67780.8,12.29,263000,35041.0,26.39,0,0,0,0,0,0,,0,0,0,0,0,1480000,414216.0,4488.12,,,,,,Cipro
20:10 20-04-2022,568,13,13,543000,5140,0,0,0,0,0,0,12400,6027.3,23.13,0,0,0,158000,63585.3,11.82,263000,2226.3,1.54,0,0,0,0,0,0,,0,0,0,0,0,1480000,471161.1,5103.51,,,,,,Cipro
20:20 20-04-2022,568,13,13,543000,5140,0,0,0,0,0,0,12400,6027.3,23.13,0,0,0,158000,63585.3,11.82,263000,2226.3,1.54,0,0,0,0,0,0,,0,0,0,0,0,1480000,471161.1,5103.51,,,,,,Cipro
20:30 20-04-2022,568,13,13,543000,5140,0,0,0,0,0,0,12400,6027.3,23.13,0,0,0,158000,63585.3,11.82,263000,2226.3,1.54,0,0,0,0,0,0,,0,0,0,0,0,1480000,471161.1,5103.51,,,,,,Cipro
