timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-04-2022,321,72,49,1500000,8020.0,0,0,0,0,0,0,147000,90000.0,344.86,1370000,187950.0,4746.24,329000,151050.0,28.07,370000,151950.0,113.88,4000,3000.0,0.8,0,0,0,,0,0,119000,55950.0,457.14,52000,,,13000,3000.0,35.29, Lettonia_nan_-359850.0_1924.0@ Russia europea e Ural (Russia)_2460000.0_-121950.0_652.03@, Finlandia_1000000.0_856950.0_2293.72@,Estonia
19:10 20-04-2022,321,72,49,1500000,8020.0,0,0,0,0,0,0,147000,90000.0,344.86,1370000,187950.0,4746.24,329000,151050.0,28.07,370000,151950.0,113.88,4000,3000.0,0.8,0,0,0,,0,0,119000,55950.0,457.14,52000,,,13000,3000.0,35.29, Lettonia_nan_-359850.0_1924.0@ Russia europea e Ural (Russia)_2460000.0_-121950.0_652.03@, Finlandia_1000000.0_856950.0_2293.72@,Estonia
19:20 20-04-2022,321,72,49,1500000,8020.0,0,0,0,0,0,0,147000,90000.0,344.86,1370000,187950.0,4746.24,329000,151050.0,28.07,370000,151950.0,113.88,4000,3000.0,0.8,0,0,0,,0,0,119000,55950.0,457.14,52000,,,13000,3000.0,35.29, Lettonia_nan_-359850.0_1924.0@ Russia europea e Ural (Russia)_2460000.0_-121950.0_652.03@, Finlandia_1000000.0_856950.0_2293.72@,Estonia
19:30 20-04-2022,321,72,49,1500000,8020.0,0,0,0,0,0,0,147000,90000.0,344.86,1370000,187950.0,4746.24,329000,151050.0,28.07,370000,151950.0,113.88,4000,3000.0,0.8,0,0,0,,0,0,119000,55950.0,457.14,52000,,,13000,3000.0,35.29, Lettonia_nan_-359850.0_1924.0@ Russia europea e Ural (Russia)_2460000.0_-121950.0_652.03@, Finlandia_1000000.0_856950.0_2293.72@,Estonia
19:40 20-04-2022,321,72,49,1500000,8020.0,0,0,0,0,0,0,147000,90000.0,344.86,1370000,187950.0,4746.24,329000,151050.0,28.07,370000,151950.0,113.88,4000,3000.0,0.8,0,0,0,,0,0,119000,55950.0,457.14,52000,,,13000,3000.0,35.29, Lettonia_nan_-359850.0_1924.0@ Russia europea e Ural (Russia)_2460000.0_-121950.0_652.03@, Finlandia_1000000.0_856950.0_2293.72@,Estonia
19:50 20-04-2022,330,71,42,1440000,7940.0,0,0,0,0,0,0,147000,87696.0,337.45,1370000,192384.0,4871.98,329000,137520.0,25.41,370000,106704.0,80.19,4000,3024.0,1.59,0,0,0,,0,0,119000,55872.0,457.34,52000,,,13000,3024.0,34.94, Lettonia_nan_-358560.0_1977.85@ Russia europea e Ural (Russia)_2460000.0_-121392.0_670.14@, Finlandia_1000000.0_853920.0_2131.89@,Estonia
20:00 20-04-2022,330,71,42,1440000,7940.0,0,0,0,0,0,0,147000,87696.0,337.45,1370000,192384.0,4871.98,329000,137520.0,25.41,370000,106704.0,80.19,4000,3024.0,1.59,0,0,0,,0,0,119000,55872.0,457.34,52000,,,13000,3024.0,34.94, Lettonia_nan_-358560.0_1977.85@ Russia europea e Ural (Russia)_2460000.0_-121392.0_670.14@, Finlandia_1000000.0_853920.0_2131.89@,Estonia
20:10 20-04-2022,326,71,41,1460000,7920.0,0,0,0,0,0,0,147000,89936.0,345.31,1370000,189070.0,4772.59,329000,130962.0,23.76,370000,56940.0,42.77,4000,3066.0,1.58,0,0,0,,0,0,119000,56064.0,456.98,52000,,,13000,3066.0,34.85, Lettonia_nan_-373760.0_2027.52@ Russia europea e Ural (Russia)_2460000.0_-113004.0_613.01@, Finlandia_1000000.0_931042.0_2242.15@,Estonia
20:20 20-04-2022,326,71,41,1460000,7920.0,0,0,0,0,0,0,147000,89936.0,345.31,1370000,189070.0,4772.59,329000,130962.0,23.76,370000,56940.0,42.77,4000,3066.0,1.58,0,0,0,,0,0,119000,56064.0,456.98,52000,,,13000,3066.0,34.85, Lettonia_nan_-373760.0_2027.52@ Russia europea e Ural (Russia)_2460000.0_-113004.0_613.01@, Finlandia_1000000.0_931042.0_2242.15@,Estonia
20:30 20-04-2022,326,71,41,1460000,7920.0,0,0,0,0,0,0,147000,89936.0,345.31,1370000,189070.0,4772.59,329000,130962.0,23.76,370000,56940.0,42.77,4000,3066.0,1.58,0,0,0,,0,0,119000,56064.0,456.98,52000,,,13000,3066.0,34.85, Lettonia_nan_-373760.0_2027.52@ Russia europea e Ural (Russia)_2460000.0_-113004.0_613.01@, Finlandia_1000000.0_931042.0_2242.15@,Estonia
