timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-04-2022,322,59,23,5070000,27200,1940000,1480947,296.48,,,,363000,79092,301.92,1010000,249951,3419.04,3000,0,0,532000,118131,89.76,1620000,508521,204.0,916000,0,0.0,,0,0,1090000,213954,1748.96,195000,47151,508.64,,196716,2298.4, Ungheria_nan_-1172184.0_6288.64@ Ucra_650000.0_-391911.0_2102.56@, Cechia_nan_1248234.0_8584.32@ Polonia_nan_927303.0_9745.76@,Slovacchia
19:10 20-04-2022,309,61,25,5070000,26100,1940000,1480947,297.54,,,,363000,79092,302.76,1010000,249951,3416.49,3000,0,0,532000,118131,88.74,1620000,508521,203.58,916000,0,0.0,,0,0,1090000,213954,1748.7,195000,47151,508.95,,196716,2299.41, Ungheria_nan_-1172184.0_6034.32@ Ucra_650000.0_-391911.0_2017.53@, Cechia_nan_1248234.0_8532.09@ Polonia_nan_927303.0_8704.35@,Slovacchia
19:20 20-04-2022,309,61,25,5070000,26100,1940000,1480947,297.54,,,,363000,79092,302.76,1010000,249951,3416.49,3000,0,0,532000,118131,88.74,1620000,508521,203.58,916000,0,0.0,,0,0,1090000,213954,1748.7,195000,47151,508.95,,196716,2299.41, Ungheria_nan_-1172184.0_6034.32@ Ucra_650000.0_-391911.0_2017.53@, Cechia_nan_1248234.0_8532.09@ Polonia_nan_927303.0_8704.35@,Slovacchia
19:30 20-04-2022,309,61,25,5070000,26100,1940000,1480947,297.54,,,,363000,79092,302.76,1010000,249951,3416.49,3000,0,0,532000,118131,88.74,1620000,508521,203.58,916000,0,0.0,,0,0,1090000,213954,1748.7,195000,47151,508.95,,196716,2299.41, Ungheria_nan_-1172184.0_6034.32@ Ucra_650000.0_-391911.0_2017.53@, Cechia_nan_1248234.0_8532.09@ Polonia_nan_927303.0_8704.35@,Slovacchia
19:40 20-04-2022,309,61,25,5070000,26100,1940000,1480947,297.54,,,,363000,79092,302.76,1010000,249951,3416.49,3000,0,0,532000,118131,88.74,1620000,508521,203.58,916000,0,0.0,,0,0,1090000,213954,1748.7,195000,47151,508.95,,196716,2299.41, Ungheria_nan_-1172184.0_6034.32@ Ucra_650000.0_-391911.0_2017.53@, Cechia_nan_1248234.0_8532.09@ Polonia_nan_927303.0_8704.35@,Slovacchia
19:50 20-04-2022,309,61,25,5070000,26100,1940000,1480947,297.54,,,,363000,79092,302.76,1010000,249951,3416.49,3000,0,0,532000,118131,88.74,1620000,508521,203.58,916000,0,0.0,,0,0,1090000,213954,1748.7,195000,47151,508.95,,196716,2299.41, Ungheria_nan_-1172184.0_6034.32@ Ucra_650000.0_-391911.0_2017.53@, Cechia_nan_1248234.0_8532.09@ Polonia_nan_927303.0_8704.35@,Slovacchia
20:00 20-04-2022,329,58,22,5100000,28000,1940000,1482570,296.8,,,,363000,79050,302.4,1010000,245310,3351.6,3000,0,0,532000,68850,50.4,1620000,539070,215.6,916000,0,0.0,,0,0,1090000,217260,1772.4,195000,46920,509.6,,194310,2265.2, Ungheria_nan_-1182690.0_6493.2@ Ucra_650000.0_-416160.0_2284.8@, Cechia_nan_1298460.0_9200.8@ Polonia_nan_928200.0_10032.4@,Slovacchia
20:10 20-04-2022,319,60,23,5100000,27100,1940000,1482570,295.39,,,,363000,79050,303.52,1010000,245310,3344.14,3000,0,0,532000,68850,51.49,1620000,539070,214.09,916000,0,0.0,,0,0,1090000,217260,1769.63,195000,46920,509.48,,194310,2260.14, Ungheria_nan_-1182690.0_6284.49@ Ucra_650000.0_-416160.0_2211.36@, Cechia_nan_1298460.0_9200.45@ Polonia_nan_928200.0_9146.25@,Slovacchia
20:20 20-04-2022,319,60,23,5100000,27100,1940000,1482570,295.39,,,,363000,79050,303.52,1010000,245310,3344.14,3000,0,0,532000,68850,51.49,1620000,539070,214.09,916000,0,0.0,,0,0,1090000,217260,1769.63,195000,46920,509.48,,194310,2260.14, Ungheria_nan_-1182690.0_6284.49@ Ucra_650000.0_-416160.0_2211.36@, Cechia_nan_1298460.0_9200.45@ Polonia_nan_928200.0_9146.25@,Slovacchia
20:30 20-04-2022,319,60,23,5100000,27100,1940000,1482570,295.39,,,,363000,79050,303.52,1010000,245310,3344.14,3000,0,0,532000,68850,51.49,1620000,539070,214.09,916000,0,0.0,,0,0,1090000,217260,1769.63,195000,46920,509.48,,194310,2260.14, Ungheria_nan_-1182690.0_6284.49@ Ucra_650000.0_-416160.0_2211.36@, Cechia_nan_1298460.0_9200.45@ Polonia_nan_928200.0_9146.25@,Slovacchia
20:40 20-04-2022,319,60,23,5100000,27100,1940000,1482570,295.39,,,,363000,79050,303.52,1010000,245310,3344.14,3000,0,0,532000,68850,51.49,1620000,539070,214.09,916000,0,0.0,,0,0,1090000,217260,1769.63,195000,46920,509.48,,194310,2260.14, Ungheria_nan_-1182690.0_6284.49@ Ucra_650000.0_-416160.0_2211.36@, Cechia_nan_1298460.0_9200.45@ Polonia_nan_928200.0_9146.25@,Slovacchia
20:50 20-04-2022,319,60,23,5100000,27100,1940000,1482570,295.39,,,,363000,79050,303.52,1010000,245310,3344.14,3000,0,0,532000,68850,51.49,1620000,539070,214.09,916000,0,0.0,,0,0,1090000,217260,1769.63,195000,46920,509.48,,194310,2260.14, Ungheria_nan_-1182690.0_6284.49@ Ucra_650000.0_-416160.0_2211.36@, Cechia_nan_1298460.0_9200.45@ Polonia_nan_928200.0_9146.25@,Slovacchia
21:00 20-04-2022,337,58,22,5300000,29800,1940000,1483470,298.0,,,,363000,80030,306.94,1010000,237970,3257.14,3000,0,0,532000,27030,20.86,1620000,639710,256.28,916000,1060,5.96,,0,0,1090000,209350,1707.54,195000,46110,497.66,,193980,2264.8, Ungheria_nan_-1308040.0_7354.64@ Ucra_650000.0_-485480.0_2729.68@, Cechia_nan_1355210.0_9869.76@ Polonia_nan_1026080.0_11318.04@,Slovacchia
21:10 20-04-2022,326,59,24,5300000,28800,1940000,1483470,296.64,,,,363000,80030,305.28,1010000,237970,3251.52,3000,0,0,532000,27030,20.16,1620000,639710,256.32,916000,1060,5.76,,0,0,1090000,209350,1707.84,195000,46110,498.24,,193980,2263.68, Ungheria_nan_-1308040.0_7107.84@ Ucra_650000.0_-485480.0_2638.08@, Cechia_nan_1355210.0_9711.36@ Polonia_nan_1026080.0_10486.08@,Slovacchia
21:20 20-04-2022,326,59,24,5300000,28800,1940000,1483470,296.64,,,,363000,80030,305.28,1010000,237970,3251.52,3000,0,0,532000,27030,20.16,1620000,639710,256.32,916000,1060,5.76,,0,0,1090000,209350,1707.84,195000,46110,498.24,,193980,2263.68, Ungheria_nan_-1308040.0_7107.84@ Ucra_650000.0_-485480.0_2638.08@, Cechia_nan_1355210.0_9711.36@ Polonia_nan_1026080.0_10486.08@,Slovacchia
21:30 20-04-2022,326,59,24,5300000,28800,1940000,1483470,296.64,,,,363000,80030,305.28,1010000,237970,3251.52,3000,0,0,532000,27030,20.16,1620000,639710,256.32,916000,1060,5.76,,0,0,1090000,209350,1707.84,195000,46110,498.24,,193980,2263.68, Ungheria_nan_-1308040.0_7107.84@ Ucra_650000.0_-485480.0_2638.08@, Cechia_nan_1355210.0_9711.36@ Polonia_nan_1026080.0_10486.08@,Slovacchia
21:40 20-04-2022,326,59,24,5300000,28800,1940000,1483470,296.64,,,,363000,80030,305.28,1010000,237970,3251.52,3000,0,0,532000,27030,20.16,1620000,639710,256.32,916000,1060,5.76,,0,0,1090000,209350,1707.84,195000,46110,498.24,,193980,2263.68, Ungheria_nan_-1308040.0_7107.84@ Ucra_650000.0_-485480.0_2638.08@, Cechia_nan_1355210.0_9711.36@ Polonia_nan_1026080.0_10486.08@,Slovacchia
21:50 20-04-2022,326,59,24,5300000,28800,1940000,1483470,296.64,,,,363000,80030,305.28,1010000,237970,3251.52,3000,0,0,532000,27030,20.16,1620000,639710,256.32,916000,1060,5.76,,0,0,1090000,209350,1707.84,195000,46110,498.24,,193980,2263.68, Ungheria_nan_-1308040.0_7107.84@ Ucra_650000.0_-485480.0_2638.08@, Cechia_nan_1355210.0_9711.36@ Polonia_nan_1026080.0_10486.08@,Slovacchia
22:00 20-04-2022,337,59,25,5500000,30800,1940000,1483350,295.68,,,,363000,101200,388.08,1010000,235950,3221.68,3000,0,0,532000,2750,3.08,1620000,666600,264.88,916000,180400,850.08,,0,0,1090000,210100,1712.48,195000,45100,486.64,,204050,2377.76, Ungheria_nan_-1406350.0_7875.56@ Ucra_650000.0_-539550.0_3021.48@, Cechia_nan_1400300.0_10333.4@ Polonia_nan_969650.0_10869.32@,Slovacchia
22:10 20-04-2022,324,61,27,5500000,29700,1940000,1483350,297.0,,,,363000,101200,386.1,1010000,235950,3228.39,3000,0,0,532000,2750,2.97,1620000,666600,267.3,916000,180400,852.39,,0,0,1090000,210100,1716.66,195000,45100,487.08,,204050,2381.94, Ungheria_nan_-1406350.0_7594.29@ Ucra_650000.0_-539550.0_2913.57@, Cechia_nan_1400300.0_10121.76@ Polonia_nan_969650.0_9961.38@,Slovacchia
22:20 20-04-2022,324,61,27,5500000,29700,1940000,1483350,297.0,,,,363000,101200,386.1,1010000,235950,3228.39,3000,0,0,532000,2750,2.97,1620000,666600,267.3,916000,180400,852.39,,0,0,1090000,210100,1716.66,195000,45100,487.08,,204050,2381.94, Ungheria_nan_-1406350.0_7594.29@ Ucra_650000.0_-539550.0_2913.57@, Cechia_nan_1400300.0_10121.76@ Polonia_nan_969650.0_9961.38@,Slovacchia
22:30 20-04-2022,324,61,27,5500000,29700,1940000,1483350,297.0,,,,363000,101200,386.1,1010000,235950,3228.39,3000,0,0,532000,2750,2.97,1620000,666600,267.3,916000,180400,852.39,,0,0,1090000,210100,1716.66,195000,45100,487.08,,204050,2381.94, Ungheria_nan_-1406350.0_7594.29@ Ucra_650000.0_-539550.0_2913.57@, Cechia_nan_1400300.0_10121.76@ Polonia_nan_969650.0_9961.38@,Slovacchia
