timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-04-2022,328,51,51,419000,2290,,0,0,,0,0,,0,0,,0,0,,166301.1,30.46,,47472.7,35.49,,0,0,,0,0,,0,0,,0,0,,205226.2,2223.82,,,,,,Tenerife (Spagna)
19:10 20-04-2022,328,51,51,419000,2290,,0,0,,0,0,,0,0,,0,0,,166301.1,30.46,,47472.7,35.49,,0,0,,0,0,,0,0,,0,0,,205226.2,2223.82,,,,,,Tenerife (Spagna)
19:20 20-04-2022,328,51,51,419000,2290,,0,0,,0,0,,0,0,,0,0,,166301.1,30.46,,47472.7,35.49,,0,0,,0,0,,0,0,,0,0,,205226.2,2223.82,,,,,,Tenerife (Spagna)
19:30 20-04-2022,328,51,51,419000,2290,,0,0,,0,0,,0,0,,0,0,,166301.1,30.46,,47472.7,35.49,,0,0,,0,0,,0,0,,0,0,,205226.2,2223.82,,,,,,Tenerife (Spagna)
19:40 20-04-2022,328,51,51,419000,2290,,0,0,,0,0,,0,0,,0,0,,166301.1,30.46,,47472.7,35.49,,0,0,,0,0,,0,0,,0,0,,205226.2,2223.82,,,,,,Tenerife (Spagna)
19:50 20-04-2022,328,51,51,419000,2290,,0,0,,0,0,,0,0,,0,0,,166301.1,30.46,,47472.7,35.49,,0,0,,0,0,,0,0,,0,0,,205226.2,2223.82,,,,,,Tenerife (Spagna)
20:00 20-04-2022,328,51,51,419000,2290,,0,0,,0,0,,0,0,,0,0,,166301.1,30.46,,47472.7,35.49,,0,0,,0,0,,0,0,,0,0,,205226.2,2223.82,,,,,,Tenerife (Spagna)
20:10 20-04-2022,335,50,50,421000,2350,,0,0,,0,0,,0,0,,0,0,,166589.7,30.55,,43405.1,32.66,,0,0,,0,0,,0,0,,0,0,,211005.2,2286.79,,,,,,Tenerife (Spagna)
20:20 20-04-2022,335,50,50,421000,2350,,0,0,,0,0,,0,0,,0,0,,166589.7,30.55,,43405.1,32.66,,0,0,,0,0,,0,0,,0,0,,211005.2,2286.79,,,,,,Tenerife (Spagna)
20:30 20-04-2022,335,50,50,421000,2350,,0,0,,0,0,,0,0,,0,0,,166589.7,30.55,,43405.1,32.66,,0,0,,0,0,,0,0,,0,0,,211005.2,2286.79,,,,,,Tenerife (Spagna)
20:40 20-04-2022,335,50,50,421000,2350,,0,0,,0,0,,0,0,,0,0,,166589.7,30.55,,43405.1,32.66,,0,0,,0,0,,0,0,,0,0,,211005.2,2286.79,,,,,,Tenerife (Spagna)
20:50 20-04-2022,335,50,50,421000,2350,,0,0,,0,0,,0,0,,0,0,,166589.7,30.55,,43405.1,32.66,,0,0,,0,0,,0,0,,0,0,,211005.2,2286.79,,,,,,Tenerife (Spagna)
21:00 20-04-2022,335,50,50,421000,2350,,0,0,,0,0,,0,0,,0,0,,166589.7,30.55,,43405.1,32.66,,0,0,,0,0,,0,0,,0,0,,211005.2,2286.79,,,,,,Tenerife (Spagna)
21:10 20-04-2022,350,47,47,428000,2490,,0,0,,0,0,,0,0,,0,0,,172398.4,31.62,,30388.0,22.66,,0,0,,0,0,,0,0,,0,0,,225213.6,2435.72,,,,,,Tenerife (Spagna)
21:20 20-04-2022,350,47,47,428000,2490,,0,0,,0,0,,0,0,,0,0,,172398.4,31.62,,30388.0,22.66,,0,0,,0,0,,0,0,,0,0,,225213.6,2435.72,,,,,,Tenerife (Spagna)
21:30 20-04-2022,350,47,47,428000,2490,,0,0,,0,0,,0,0,,0,0,,172398.4,31.62,,30388.0,22.66,,0,0,,0,0,,0,0,,0,0,,225213.6,2435.72,,,,,,Tenerife (Spagna)
